configuration,dataset,method,cIoU,AUC,mean_IoU,aud_img_pearson_mean,aud_img_pearson_median,aud_img_spearman_mean,aud_img_spearman_median,aud_img_js_mean,aud_img_top10_overlap,aud_img_threshold_mask_iou,aud_precision,aud_coverage,aud_outside_leakage,aud_predicted_area_ratio,aud_attention_entropy,aud_effective_active_area,fusion_synergy_ciou,fusion_synergy_auc,sample_synergy_mean,sample_synergy_median,sample_synergy_positive_fraction,sample_synergy_ge_001_fraction,iqr_beats_aud_and_img_fraction,ogl_aud_gap_ciou,ogl_iqr_gap_ciou
FULL_REFERENCE,vggss,AUD,0.4015122140364482,0.40737689026754553,0.40747255557495266,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,vggss,IMG_QUERY,0.4063590538968592,0.4093544009305933,0.40883345008307165,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,vggss,IQR,0.40732842186894147,0.4091993020550601,0.4087557108675922,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,vggss,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,0.3914037623400056,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,vggss,OGL,0.44319503683598294,0.42918766963939514,0.4287699942023086,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,vggss,EXTRA_IQR_OGL,0.43136874757658006,0.4214715005816208,0.42120735822024896,0.9858918117224792,0.9894420105817784,0.9800523702145055,0.9847959183673469,4.487957840173105e-05,0.8176812718107794,0.8937270014216843,0.49322986899938787,0.8278507381536874,0.5067701310006122,0.4848401134791111,3.8875448374830555,48.791033205305055,0.0009693679720822468,-0.00015509887553316615,-0.01061350610614852,-0.006929385691563927,0.0785188057386584,0.00407134548274525,0.0785188057386584,0.041682822799534724,0.035866614967041466
FULL_REFERENCE,flickr,AUD,0.764,0.5916000000000001,0.5921927569730399,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742,0.008000000000000007,0.0005999999999999339,-0.013361604257126987,-0.00975931444515743,0.064,0.008,0.064,0.07599999999999996,0.06799999999999995
FULL_REFERENCE,flickr,IMG_QUERY,0.752,0.5890000000000001,0.5894827214421676,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742,0.008000000000000007,0.0005999999999999339,-0.013361604257126987,-0.00975931444515743,0.064,0.008,0.064,0.07599999999999996,0.06799999999999995
FULL_REFERENCE,flickr,IQR,0.772,0.5922000000000001,0.592654240809946,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742,0.008000000000000007,0.0005999999999999339,-0.013361604257126987,-0.00975931444515743,0.064,0.008,0.064,0.07599999999999996,0.06799999999999995
FULL_REFERENCE,flickr,OBJ_PRIOR,0.448,0.4668,0.46537125676259156,0.987269006205784,0.9905989010993015,0.9806224489795918,0.9841326530612244,9.38561691821195e-05,0.8215999999999999,0.9058947226939789,0.7423434104587397,0.7645261248214071,0.25765658954126036,0.5188641581632653,3.885078783077437,48.67096179293742,0.008000000000000007,0.0005999999999999339,-0.013361604257126987,-0.00975931444515743,0.064,0.008,0.064,0.07599999999999996,0.06799999999999995
