candidate,feature,score_direction,AUROC,rescue_samples,hurt_samples
7x7,ownership_confidence,higher,0.4857093176342002,355,567
7x7,eval_soft_containment,higher,0.5547606627418834,355,567
7x7,eval_seed_top10,higher,0.5935762724495118,355,567
7x7,eval_seed_top20,higher,0.5931341133219068,355,567
7x7,raw_seed_top10,higher,0.5021934073577267,355,567
7x7,raw_seed_top20,higher,0.507717912412748,355,567
7x7,centroid_distance,lower,0.5610303798097226,355,567
7x7,js_divergence,lower,0.5078172740144571,355,567
7x7,extent_ratio,closer_to_one,0.49554114812330774,355,567
HR14,ownership_confidence,higher,0.5073048415612675,430,684
HR14,eval_soft_containment,higher,0.5241908064735482,430,684
HR14,eval_seed_top10,higher,0.5835101319189447,430,684
HR14,eval_seed_top20,higher,0.5682714538283694,430,684
HR14,raw_seed_top10,higher,0.4818917448660411,430,684
HR14,raw_seed_top20,higher,0.4859921120631035,430,684
HR14,centroid_distance,lower,0.5635896912824697,430,684
HR14,js_divergence,lower,0.4973242214062288,430,684
HR14,extent_ratio,closer_to_one,0.493047055623555,430,684
